"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","column"
"65",5.6,2.9,3.6,1.3,"versicolor","pawel"
"66",6.7,3.1,4.4,1.4,"versicolor","pawel"
"67",5.6,3,4.5,1.5,"versicolor","pawel"
"68",5.8,2.7,4.1,1,"versicolor","pawel"
"69",6.2,2.2,4.5,1.5,"versicolor","pawel"
"70",5.6,2.5,3.9,1.1,"versicolor","pawel"
"71",5.9,3.2,4.8,1.8,"versicolor","pawel"
"72",6.1,2.8,4,1.3,"versicolor","pawel"
"73",6.3,2.5,4.9,1.5,"versicolor","pawel"
"74",6.1,2.8,4.7,1.2,"versicolor","pawel"
"75",6.4,2.9,4.3,1.3,"versicolor","pawel"
"76",6.6,3,4.4,1.4,"versicolor","pawel"
"77",6.8,2.8,4.8,1.4,"versicolor","pawel"
"78",6.7,3,5,1.7,"versicolor","pawel"
"79",6,2.9,4.5,1.5,"versicolor","pawel"
"80",5.7,2.6,3.5,1,"versicolor","pawel"
"81",5.5,2.4,3.8,1.1,"versicolor","pawel"
"82",5.5,2.4,3.7,1,"versicolor","pawel"
"83",5.8,2.7,3.9,1.2,"versicolor","pawel"
"84",6,2.7,5.1,1.6,"versicolor","pawel"
"85",5.4,3,4.5,1.5,"versicolor","pawel"
"86",6,3.4,4.5,1.6,"versicolor","pawel"
"87",6.7,3.1,4.7,1.5,"versicolor","pawel"
"88",6.3,2.3,4.4,1.3,"versicolor","pawel"
"89",5.6,3,4.1,1.3,"versicolor","pawel"
"90",5.5,2.5,4,1.3,"versicolor","pawel"
"91",5.5,2.6,4.4,1.2,"versicolor","pawel"
"92",6.1,3,4.6,1.4,"versicolor","pawel"
"93",5.8,2.6,4,1.2,"versicolor","pawel"
"94",5,2.3,3.3,1,"versicolor","pawel"
"95",5.6,2.7,4.2,1.3,"versicolor","pawel"
"96",5.7,3,4.2,1.2,"versicolor","pawel"
"97",5.7,2.9,4.2,1.3,"versicolor","pawel"
"98",6.2,2.9,4.3,1.3,"versicolor","pawel"
"99",5.1,2.5,3,1.1,"versicolor","pawel"
"100",5.7,2.8,4.1,1.3,"versicolor","pawel"
"101",6.3,3.3,6,2.5,"virginica","pawel"
"102",5.8,2.7,5.1,1.9,"virginica","pawel"
"103",7.1,3,5.9,2.1,"virginica","pawel"
"104",6.3,2.9,5.6,1.8,"virginica","pawel"
"105",6.5,3,5.8,2.2,"virginica","pawel"
"106",7.6,3,6.6,2.1,"virginica","pawel"
"107",4.9,2.5,4.5,1.7,"virginica","pawel"
"108",7.3,2.9,6.3,1.8,"virginica","pawel"
"109",6.7,2.5,5.8,1.8,"virginica","pawel"
"110",7.2,3.6,6.1,2.5,"virginica","pawel"
"111",6.5,3.2,5.1,2,"virginica","pawel"
"112",6.4,2.7,5.3,1.9,"virginica","pawel"
"113",6.8,3,5.5,2.1,"virginica","pawel"
"114",5.7,2.5,5,2,"virginica","pawel"
"115",5.8,2.8,5.1,2.4,"virginica","pawel"
"116",6.4,3.2,5.3,2.3,"virginica","pawel"
"117",6.5,3,5.5,1.8,"virginica","pawel"
"118",7.7,3.8,6.7,2.2,"virginica","pawel"
"119",7.7,2.6,6.9,2.3,"virginica","pawel"
"120",6,2.2,5,1.5,"virginica","pawel"
"121",6.9,3.2,5.7,2.3,"virginica","pawel"
"122",5.6,2.8,4.9,2,"virginica","pawel"
"123",7.7,2.8,6.7,2,"virginica","pawel"
"124",6.3,2.7,4.9,1.8,"virginica","pawel"
"125",6.7,3.3,5.7,2.1,"virginica","pawel"
"126",7.2,3.2,6,1.8,"virginica","pawel"
"127",6.2,2.8,4.8,1.8,"virginica","pawel"
"128",6.1,3,4.9,1.8,"virginica","pawel"
"129",6.4,2.8,5.6,2.1,"virginica","pawel"
"130",7.2,3,5.8,1.6,"virginica","pawel"
"131",7.4,2.8,6.1,1.9,"virginica","pawel"
"132",7.9,3.8,6.4,2,"virginica","pawel"
"133",6.4,2.8,5.6,2.2,"virginica","pawel"
"134",6.3,2.8,5.1,1.5,"virginica","pawel"
"135",6.1,2.6,5.6,1.4,"virginica","pawel"
"136",7.7,3,6.1,2.3,"virginica","pawel"
"137",6.3,3.4,5.6,2.4,"virginica","pawel"
"138",6.4,3.1,5.5,1.8,"virginica","pawel"
"139",6,3,4.8,1.8,"virginica","pawel"
"140",6.9,3.1,5.4,2.1,"virginica","pawel"
"141",6.7,3.1,5.6,2.4,"virginica","pawel"
"142",6.9,3.1,5.1,2.3,"virginica","pawel"
"143",5.8,2.7,5.1,1.9,"virginica","pawel"
"144",6.8,3.2,5.9,2.3,"virginica","pawel"
"145",6.7,3.3,5.7,2.5,"virginica","pawel"
"146",6.7,3,5.2,2.3,"virginica","pawel"
"147",6.3,2.5,5,1.9,"virginica","pawel"
"148",6.5,3,5.2,2,"virginica","pawel"
"149",6.2,3.4,5.4,2.3,"virginica","pawel"
"150",5.9,3,5.1,1.8,"virginica","pawel"
